Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,eigencentrality,indegree,outdegree,Degree
Afghanistan,Afghanistan,,1,1,1,0.25,2,0.00202,0.001185,1,1,2
Algeria,Algeria,,0,0,0,0,4,0.002087,0.017684,3,0,3
Germany,Germany,,5,0.390572,0.508333,465.452847,3,0.002746,0.073017,8,26,34
Australia,Australia,,5,0.31016,0.37342,171.269306,1,0.012572,0.43285,25,10,35
Brazil,Brazil,,5,0.310992,0.374856,390.886906,3,0.016971,0.479241,29,10,39
Romania,Romania,,5,0.303665,0.340374,0,3,0.001979,0.005994,1,2,3
Switzerland,Switzerland,,5,0.368254,0.463218,212.994048,3,0.002189,0.014193,3,19,22
Norway,Norway,,1,1,1,67.851824,5,0.002368,0.045575,3,3,6
Georgia,Georgia,,1,1,1,1.076923,3,0.003889,0.010372,3,1,4
Azerbaijan,Azerbaijan,,2,0.666667,0.75,5,2,0.002112,0.012228,2,1,3
Iraq,Iraq,,0,0,0,0,2,0.00202,0.001185,1,0,1
Bahrain,Bahrain,,5,0.289277,0.314224,102,2,0.002117,0.006715,2,2,4
Croatia,Croatia,,0,0,0,0,3,0.001979,0.005994,1,0,1
Nigeria,Nigeria,,6,0.237705,0.263649,0,0,0.003897,0.157034,5,1,6
Netherlands,Netherlands,,5,0.32133,0.400718,0.783333,3,0.001979,0.005994,1,13,14
Latvia,Latvia,,7,0.19376,0.211158,0,4,0.001949,0,0,1,1
Estonia,Estonia,,6,0.238289,0.264957,117,4,0.003644,0.001185,1,1,2
Sweden,Sweden,,5,0.308511,0.364799,2.2007,2,0.00246,0.056618,4,7,11
Israel,Israel,,5,0.311828,0.372701,29.683333,0,0.002268,0.028996,2,8,10
Lithuania,Lithuania,,0,0,0,0,3,0.001979,0.005994,1,0,1
Ecuador,Ecuador,,5,0.304462,0.348276,0.45,0,0.002048,0.01067,2,4,6
Cambodia,Cambodia,,6,0.235294,0.257902,0,1,0.002267,0.038395,1,1,2
Iceland,Iceland,,0,0,0,0,3,0.002241,0.018223,3,0,3
Mexico,Mexico,,5,0.31016,0.37342,666.363554,4,0.040209,0.865342,36,10,46
Senegal,Senegal,,1,1,1,5.059524,4,0.002057,0.015527,3,3,6
Saudi Arabia,Saudi Arabia,,5,0.297436,0.338649,6.251598,2,0.002942,0.003652,2,5,7
Egypt,Egypt,,5,0.315364,0.38661,0,0,0.001949,0,0,11,11
Russia,Russia,,5,0.306069,0.351149,23.8125,3,0.002398,0.047914,3,4,7
Qatar,Qatar,,5,0.310345,0.370228,0.636447,2,0.00202,0.001185,1,8,9
Tunisia,Tunisia,,0,0,0,0,3,0.001979,0.005994,1,0,1
Jordan,Jordan,,5,0.303665,0.343966,0,0,0.001979,0.005994,1,3,4
Belgium,Belgium,,5,0.32312,0.402586,72.136472,3,0.002297,0.04439,2,13,15
Portugal,Portugal,,5,0.325843,0.394397,105.841667,3,0.002048,0.01067,2,10,12
Andorra,Andorra,,0,0,0,0,3,0.001979,0.005994,1,0,1
Czech Republic,Czech Republic,,0,0,0,0,3,0.053632,0.733928,55,0,55
Austria,Austria,,5,0.355623,0.420798,0,3,0.001949,0,0,10,10
Ukraine,Ukraine,,6,0.239175,0.269109,1.983333,3,0.003285,0.010837,3,2,5
Morocco,Morocco,,5,0.305263,0.346121,0,3,0.001979,0.005994,1,3,4
Nepal,Nepal,,0,0,0,0,1,0.002267,0.038395,1,0,1
Ireland,Ireland,,5,0.327684,0.394684,0,0,0.001979,0.005994,1,9,10
Chile,Chile,,5,0.303665,0.347557,0.72549,3,0.003287,0.07053,5,4,9
Argentina,Argentina,,5,0.292191,0.333908,8.645238,4,0.004273,0.164081,8,6,14
New Zealand,New Zealand,,5,0.292929,0.324569,0.142857,3,0.00205,0.00718,2,3,5
Liechtenstein,Liechtenstein,,0,0,0,0,3,0.00205,0.003524,1,0,1
Gibraltar,Gibraltar,,0,0,0,0,3,0.002048,0.01067,2,0,2
Poland,Poland,,6,0.242678,0.28319,6,3,0.002041,0.011043,1,4,5
India,India,,4,0.395904,0.448994,4297.31561,2,0.049707,1,48,12,60
Slovenia,Slovenia,,1,1,1,0.333333,3,0.002553,0.008072,2,1,3
Armenia,Armenia,,0,0,0,0,2,0.00202,0.001185,1,0,1
Philippines,Philippines,,5,0.305263,0.353305,207.263132,1,0.017311,0.544569,24,6,30
